antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'mouthRollLower'}),frozenset({'Neutral'}),0.02200825309491059,0.23016964695093994,0.012379642365887207,0.5625,2.4438496015936253,0.007314010521024705,1.7596122355407087,0.6041048080429233
frozenset({'browInnerUp'}),frozenset({'Sad'}),0.2718936267767079,0.14442916093535077,0.04722604309949564,0.1736930860033727,1.2026178430900183,0.007956674720466295,1.0354153215619124,0.2313956616370349
frozenset({'browOuterUpRight'}),frozenset({'Sad'}),0.2209995414947272,0.14442916093535077,0.03759743237047226,0.1701244813278008,1.1779095040505827,0.005678654025291573,1.0309628610729022,0.19388736559525668
frozenset({'eyeBlinkLeft'}),frozenset({'Sad'}),0.049060064190738197,0.14442916093535077,0.016964695093993582,0.34579439252336447,2.3942145082331994,0.009878991187490815,1.3078011397131066,0.6123693606818003
frozenset({'eyeBlinkRight'}),frozenset({'Sad'}),0.06006419073819349,0.14442916093535077,0.016047684548372305,0.26717557251908397,1.8498727735368956,0.007372663877794153,1.167497707473636,0.48878048780487793
frozenset({'eyeLookDownLeft'}),frozenset({'Sad'}),0.10866574965612105,0.14442916093535077,0.01925722145804677,0.17721518987341772,1.2270042194092825,0.003562718412802323,1.0398476351708814,0.20756172839506162
frozenset({'eyeLookDownRight'}),frozenset({'Sad'}),0.12150389729481889,0.14442916093535077,0.024300779458963778,0.2,1.3847619047619046,0.006752073522298049,1.0694635488308115,0.3162839248434237
frozenset({'eyeSquintLeft'}),frozenset({'Sad'}),0.5694635488308115,0.14442916093535077,0.09628610729023383,0.16908212560386474,1.1706924315619966,0.01403896474933257,1.0296695563161766,0.3386581469648559
frozenset({'eyeSquintRight'}),frozenset({'Sad'}),0.4167812929848693,0.14442916093535077,0.06923429619440624,0.16611661166116612,1.15015977788255,0.00903892375505097,1.0260077740234381,0.2238535549169062
frozenset({'browDownLeft'}),frozenset({'Surprise'}),0.049060064190738197,0.11829436038514443,0.010087116001834021,0.205607476635514,1.7381004129537057,0.004283587087936518,1.10991180516223,0.4465678969054089
frozenset({'browInnerUp'}),frozenset({'Surprise'}),0.2718936267767079,0.11829436038514443,0.048601558917927556,0.178752107925801,1.511078865837876,0.016438076245579712,1.073616928730204,0.4645216482106364
frozenset({'browOuterUpLeft'}),frozenset({'Surprise'}),0.33837689133425036,0.11829436038514443,0.06006419073819349,0.17750677506775067,1.500551459002962,0.02003611280869482,1.0719913707343713,0.504181809525321
frozenset({'browOuterUpRight'}),frozenset({'Surprise'}),0.2209995414947272,0.11829436038514443,0.03759743237047226,0.1701244813278008,1.4381453247129208,0.011454432963943318,1.062455295735901,0.3910908855998506
frozenset({'eyeLookInLeft'}),frozenset({'Surprise'}),0.10499770747363595,0.11829436038514443,0.014213663457129757,0.13537117903930132,1.1443586879252565,0.0017930268096294933,1.0197504619787976,0.14094725013220516
